# shared-data/cutscene-catalog/diaries.csv — 일기 100편 메타 SoT
# 5명 × day1~20 = 100편. 표는 PM 관리·실 텍스트는 기획/시나리오/diary_*.json
# 헤더: diaryId,characterId,personaNumber,day,layer,unlockCondition,motif,status,writer,expectedDelivery
diaryId,characterId,personaNumber,day,layer,unlockCondition,motif,status,writer,expectedDelivery
diary_danpungbol_day8,단풍볼,7,8,surface,친밀도 ≥50,TBD-day8,planned,TBD,Phase 1~2
diary_danpungbol_day9,단풍볼,7,9,surface,친밀도 ≥50,TBD-day9,planned,TBD,Phase 1~2
diary_danpungbol_day10,단풍볼,7,10,deep,친밀도 ≥100,TBD-day10,planned,TBD,Phase 1~2
diary_danpungbol_day11,단풍볼,7,11,deep,친밀도 ≥100,TBD-day11,planned,TBD,Phase 1~2
diary_danpungbol_day12,단풍볼,7,12,deep,친밀도 ≥100,TBD-day12,planned,TBD,Phase 1~2
diary_danpungbol_day13,단풍볼,7,13,deep,친밀도 ≥100,TBD-day13,planned,TBD,Phase 1~2
diary_danpungbol_day14,단풍볼,7,14,deep,친밀도 ≥100,TBD-day14,planned,TBD,Phase 1~2
diary_danpungbol_day15,단풍볼,7,15,deep,시즌·기념,TBD-day15,planned,TBD,Phase 1~2
diary_danpungbol_day16,단풍볼,7,16,deep,시즌·기념,TBD-day16,planned,TBD,Phase 1~2
diary_danpungbol_day17,단풍볼,7,17,deep,시즌·기념,TBD-day17,planned,TBD,Phase 1~2
diary_danpungbol_day18,단풍볼,7,18,deep,시즌·기념,TBD-day18,planned,TBD,Phase 1~2
diary_danpungbol_day19,단풍볼,7,19,deep,시즌·기념,TBD-day19,planned,TBD,Phase 1~2
diary_danpungbol_day20,단풍볼,7,20,deep,시즌·기념,TBD-day20,planned,TBD,Phase 1~2
diary_nalkayeou_day1,날카여우,19,1,surface,영입 즉시,TBD-day1,written,PM·작가,2026-05-09
diary_nalkayeou_day2,날카여우,19,2,surface,영입 즉시,TBD-day2,planned,TBD,Phase 1~2
diary_nalkayeou_day3,날카여우,19,3,surface,영입 즉시,TBD-day3,planned,TBD,Phase 1~2
diary_nalkayeou_day4,날카여우,19,4,surface,영입 즉시,TBD-day4,planned,TBD,Phase 1~2
diary_nalkayeou_day5,날카여우,19,5,surface,영입 즉시,TBD-day5,planned,TBD,Phase 1~2
diary_nalkayeou_day6,날카여우,19,6,surface,친밀도 ≥50,TBD-day6,planned,TBD,Phase 1~2
diary_nalkayeou_day7,날카여우,19,7,surface,친밀도 ≥50,TBD-day7,planned,TBD,Phase 1~2
diary_nalkayeou_day8,날카여우,19,8,surface,친밀도 ≥50,TBD-day8,planned,TBD,Phase 1~2
diary_nalkayeou_day9,날카여우,19,9,surface,친밀도 ≥50,TBD-day9,planned,TBD,Phase 1~2
diary_nalkayeou_day10,날카여우,19,10,deep,친밀도 ≥100,TBD-day10,planned,TBD,Phase 1~2
diary_nalkayeou_day11,날카여우,19,11,deep,친밀도 ≥100,TBD-day11,planned,TBD,Phase 1~2
diary_nalkayeou_day12,날카여우,19,12,deep,친밀도 ≥100,TBD-day12,planned,TBD,Phase 1~2
diary_nalkayeou_day13,날카여우,19,13,deep,친밀도 ≥100,TBD-day13,planned,TBD,Phase 1~2
diary_nalkayeou_day14,날카여우,19,14,deep,친밀도 ≥100,TBD-day14,planned,TBD,Phase 1~2
diary_nalkayeou_day15,날카여우,19,15,deep,시즌·기념,TBD-day15,planned,TBD,Phase 1~2
diary_nalkayeou_day16,날카여우,19,16,deep,시즌·기념,TBD-day16,planned,TBD,Phase 1~2
diary_nalkayeou_day17,날카여우,19,17,deep,시즌·기념,TBD-day17,planned,TBD,Phase 1~2
diary_nalkayeou_day18,날카여우,19,18,deep,시즌·기념,TBD-day18,planned,TBD,Phase 1~2
diary_nalkayeou_day19,날카여우,19,19,deep,시즌·기념,TBD-day19,planned,TBD,Phase 1~2
diary_nalkayeou_day20,날카여우,19,20,deep,시즌·기념,TBD-day20,planned,TBD,Phase 1~2
